CustomerID,Age,Gender,Location,RegisteredDate,EmailAddress,PhoneNumber,TotalSpend,NumberOfOrders,NumberOfReturnedOrders,NumberOfCanceledOrders
CUST100028,50,Female,Johannesburg,2/23/2023,customer27@example.com,721011288,74.2765,2,1,1
CUST100029,25,Non-binary,Bloemfontein,1/28/2024,customer28@example.com,721016206,1523.71,91,26,0
CUST100030,48,Male,Durban,2/16/2023,customer29@example.com,721021988,8156.18,98,9,52
CUST100031,44,Male,Pretoria,3/8/2023,customer30@example.com,721004615,2507.13,50,14,18
CUST100032,43,Non-binary,Pretoria,1/13/2024,customer31@example.com,721002930,2679.2,79,27,33
CUST100033,33,Female,Johannesburg,10/21/2023,customer32@example.com,721029425,5267.52,90,11,37
CUST100034,59,Non-binary,Durban,7/10/2023,customer33@example.com,721015753,691.107,45,2,2
CUST100035,38,Non-binary,Cape Town,8/13/2023,customer34@example.com,721020421,1215.66,13,0,6
CUST100036,61,Male,Cape Town,5/1/2023,customer35@example.com,721003871,3229.08,33,11,1
CUST100037,57,Male,Johannesburg,11/25/2023,customer36@example.com,721027830,5433.13,78,30,43
CUST100038,46,Female,Johannesburg,1/9/2024,customer37@example.com,721032059,6432.27,76,18,16
CUST100039,30,Female,Bloemfontein,11/5/2023,customer38@example.com,721031661,72.611,1,0,1
CUST100040,48,Non-binary,Johannesburg,4/27/2023,customer39@example.com,721017661,213.578,28,13,7
CUST100041,50,Male,Johannesburg,4/10/2023,customer40@example.com,721027963,298.094,9,0,1
CUST100042,31,Non-binary,Cape Town,12/21/2023,customer41@example.com,721009304,1746.81,62,23,31
CUST100043,40,Male,Durban,6/16/2023,customer42@example.com,721028296,2368.36,76,31,35
CUST100044,47,Male,Bloemfontein,6/12/2023,customer43@example.com,721024649,1322.53,99,11,75
CUST100045,45,Female,Durban,9/25/2023,customer44@example.com,721009473,1496.81,62,9,11
CUST100046,42,Non-binary,Pretoria,1/13/2024,customer45@example.com,721002948,1234.96,41,20,7
CUST100047,47,Non-binary,Cape Town,8/3/2023,customer46@example.com,721020380,1745.57,63,16,45
CUST100048,36,Male,Cape Town,1/27/2023,customer47@example.com,721027385,267.271,89,25,36
CUST100049,42,Female,Pretoria,5/11/2023,customer48@example.com,721022250,1995,24,11,11
CUST100050,70,Female,Bloemfontein,10/13/2023,customer49@example.com,721006554,317.481,7,3,1
CUST100051,61,Female,Bloemfontein,9/28/2023,customer50@example.com,721020556,2462.68,72,12,35
CUST100052,23,Non-binary,Pretoria,9/22/2023,customer51@example.com,721017227,6759.94,82,4,27
CUST100053,28,Male,Bloemfontein,6/18/2023,customer52@example.com,721024069,5768.26,62,11,32
CUST100054,25,Male,Cape Town,10/13/2023,customer53@example.com,721001761,1153.22,14,4,9
CUST100055,48,Female,Cape Town,4/21/2023,customer54@example.com,721029954,1190.25,19,5,13
CUST100056,28,Non-binary,Johannesburg,8/1/2023,customer55@example.com,721022940,4610.39,96,1,7
CUST100057,21,Female,Cape Town,5/22/2023,customer56@example.com,721014989,3936.84,55,25,4
CUST100058,19,Female,Durban,12/20/2023,customer57@example.com,721012930,2527.29,26,1,15
CUST100059,35,Female,Durban,8/25/2023,customer58@example.com,721012107,550.347,16,5,5
CUST100060,56,Male,Cape Town,7/23/2023,customer59@example.com,721025213,8692.61,87,32,40
CUST100061,19,Male,Cape Town,4/18/2023,customer60@example.com,721002606,2594.49,98,23,25
CUST100062,27,Male,Cape Town,3/23/2023,customer61@example.com,721024120,4491,52,26,24
CUST100063,26,Non-binary,Cape Town,12/3/2023,customer62@example.com,721019778,3976.88,52,2,18
CUST100064,41,Non-binary,Pretoria,11/15/2023,customer63@example.com,721028930,5512.35,88,4,29
CUST100065,47,Male,Bloemfontein,5/4/2023,customer64@example.com,721003976,4961.4,60,10,36
CUST100066,45,Non-binary,Durban,1/19/2023,customer65@example.com,721025671,1404.03,21,1,16
CUST100067,29,Non-binary,Johannesburg,9/24/2023,customer66@example.com,721000561,2712.04,86,38,18
CUST100068,22,Non-binary,Durban,6/21/2023,customer67@example.com,721011612,4839.24,57,24,11
CUST100069,40,Female,Pretoria,10/5/2023,customer68@example.com,721011512,147.995,60,4,51
CUST100070,28,Female,Cape Town,2/16/2023,customer69@example.com,721015281,5696.26,65,23,11
CUST100071,45,Female,Pretoria,9/11/2023,customer70@example.com,721003188,3869.4,44,16,7
CUST100072,18,Male,Durban,4/18/2023,customer71@example.com,721007081,6430.97,86,38,30
CUST100073,55,Female,Bloemfontein,11/16/2023,customer72@example.com,721030356,295.554,4,1,1
CUST100074,48,Male,Pretoria,2/3/2023,customer73@example.com,721024230,3694.84,53,5,44
CUST100075,35,Female,Pretoria,3/28/2023,customer74@example.com,721015520,6530.5,70,14,14
CUST100076,44,Non-binary,Bloemfontein,4/10/2023,customer75@example.com,721009993,515.979,10,1,5
CUST100077,22,Male,Bloemfontein,7/14/2023,customer76@example.com,721016246,4447.6,50,11,26
CUST100078,39,Non-binary,Pretoria,1/8/2024,customer77@example.com,721026426,3915.17,61,7,0
CUST100079,22,Non-binary,Johannesburg,1/14/2024,customer78@example.com,721025059,378.154,6,1,3
CUST100080,68,Non-binary,Bloemfontein,11/19/2023,customer79@example.com,721025843,2181.3,49,6,7
CUST100081,40,Male,Johannesburg,4/3/2023,customer80@example.com,721017980,4039.49,94,12,64
CUST100082,40,Female,Durban,6/1/2023,customer81@example.com,721030301,437.924,18,7,10
CUST100083,63,Non-binary,Bloemfontein,7/13/2023,customer82@example.com,721024492,750.53,9,1,8
CUST100084,70,Male,Pretoria,1/7/2024,customer83@example.com,721017608,3092.84,40,18,19
CUST100085,57,Non-binary,Johannesburg,7/26/2023,customer84@example.com,721025807,2672.83,38,9,0
CUST100086,32,Non-binary,Pretoria,3/15/2023,customer85@example.com,721014598,6638.71,91,12,40
CUST100087,47,Male,Pretoria,6/17/2023,customer86@example.com,721028814,169.396,5,0,4
CUST100088,65,Non-binary,Cape Town,12/24/2023,customer87@example.com,721008103,488.703,5,0,3
CUST100089,38,Non-binary,Pretoria,11/2/2023,customer88@example.com,721026466,146.381,5,0,2
CUST100090,34,Male,Bloemfontein,8/27/2023,customer89@example.com,721008112,6120.43,74,19,1
CUST100091,70,Non-binary,Bloemfontein,7/28/2023,customer90@example.com,721023136,3312.19,47,23,22
CUST100092,28,Female,Bloemfontein,3/1/2023,customer91@example.com,721023682,380.758,17,0,10
CUST100093,61,Female,Bloemfontein,10/5/2023,customer92@example.com,721028347,846.722,33,2,3
CUST100094,64,Male,Pretoria,7/23/2023,customer93@example.com,721007177,848.913,85,28,11
CUST100095,68,Non-binary,Cape Town,6/5/2023,customer94@example.com,721006055,4428.53,54,4,13
CUST100096,43,Non-binary,Pretoria,1/3/2024,customer95@example.com,721007281,2857.63,36,1,35
CUST100097,21,Male,Bloemfontein,9/15/2023,customer96@example.com,721000440,3849.86,78,11,10
CUST100098,54,Female,Johannesburg,6/28/2023,customer97@example.com,721030952,82.1112,2,0,1
CUST100099,52,Female,Johannesburg,2/5/2023,customer98@example.com,721014903,545.589,89,5,63
CUST100100,39,Non-binary,Cape Town,7/3/2023,customer99@example.com,721009028,7377.53,75,18,3
CUST100101,70,Non-binary,Johannesburg,9/21/2023,customer100@example.com,721012811,7072.1,92,26,29
CUST100102,20,Female,Durban,3/23/2023,customer101@example.com,721008318,4325.97,56,27,22
CUST100103,26,Female,Johannesburg,7/8/2023,customer102@example.com,721002839,2035.83,62,15,26
CUST100104,48,Non-binary,Pretoria,1/23/2023,customer103@example.com,721028765,624.208,56,18,18
CUST100105,61,Female,Pretoria,9/17/2023,customer104@example.com,721030791,5279.51,68,13,46
CUST100106,28,Non-binary,Bloemfontein,5/28/2023,customer105@example.com,721025807,2966.99,35,10,19
CUST100107,22,Male,Johannesburg,7/27/2023,customer106@example.com,721011172,538.175,11,5,3
CUST100108,42,Female,Pretoria,3/18/2023,customer107@example.com,721015294,1814.3,81,9,66
CUST100109,63,Male,Durban,7/5/2023,customer108@example.com,721011038,202.459,26,5,0
CUST100110,39,Male,Pretoria,9/11/2023,customer109@example.com,721007778,1775.25,25,7,3
CUST100111,46,Male,Johannesburg,7/2/2023,customer110@example.com,721015351,119.509,14,1,10
CUST100112,67,Female,Bloemfontein,12/14/2023,customer111@example.com,721019296,6326.47,98,25,53
CUST100113,39,Non-binary,Pretoria,12/21/2023,customer112@example.com,721013803,155.507,99,17,48
CUST100114,33,Non-binary,Johannesburg,12/23/2023,customer113@example.com,721013622,633.443,73,19,41
CUST100115,23,Non-binary,Durban,1/27/2023,customer114@example.com,721019082,4195.76,79,37,16
CUST100116,44,Male,Durban,10/16/2023,customer115@example.com,721021701,62.7073,1,0,0
CUST100117,28,Non-binary,Pretoria,11/2/2023,customer116@example.com,721029293,532.555,28,6,2
CUST100118,62,Male,Durban,9/5/2023,customer117@example.com,721026614,1512.4,21,0,3
CUST100119,23,Female,Pretoria,10/10/2023,customer118@example.com,721004377,453.14,16,0,5
CUST100120,37,Female,Bloemfontein,11/14/2023,customer119@example.com,721024271,4546.99,86,12,34
CUST100121,64,Non-binary,Bloemfontein,2/1/2024,customer120@example.com,721018900,401.642,6,3,0
CUST100122,33,Non-binary,Johannesburg,1/17/2023,customer121@example.com,721025967,6473.71,68,33,22
CUST100123,57,Female,Bloemfontein,2/1/2024,customer122@example.com,721017093,2425.86,53,21,22
CUST100124,33,Male,Bloemfontein,7/16/2023,customer123@example.com,721022481,5112.76,68,0,36
CUST100125,61,Non-binary,Durban,5/23/2023,customer124@example.com,721000256,5296.76,67,21,32
CUST100126,51,Non-binary,Cape Town,12/2/2023,customer125@example.com,721003137,1731.19,30,3,8
CUST100127,60,Non-binary,Bloemfontein,1/24/2024,customer126@example.com,721028541,80.7378,1,0,1
CUST100128,42,Female,Cape Town,6/15/2023,customer127@example.com,721021477,65.0015,1,0,0
CUST100129,37,Non-binary,Cape Town,10/26/2023,customer128@example.com,721021511,451.312,17,8,1
CUST100130,68,Non-binary,Pretoria,8/24/2023,customer129@example.com,721025811,4291.84,98,41,46
CUST100131,30,Non-binary,Johannesburg,11/25/2023,customer130@example.com,721016543,487.967,20,6,8
CUST100132,62,Female,Durban,4/14/2023,customer131@example.com,721010111,877.449,9,2,4
CUST100133,42,Female,Johannesburg,4/12/2023,customer132@example.com,721017654,800.866,46,18,17
CUST100134,54,Male,Johannesburg,1/10/2023,customer133@example.com,721010635,1663.77,79,5,20
CUST100135,27,Male,Durban,9/1/2023,customer134@example.com,721004828,9252.32,93,44,31
CUST100136,51,Male,Cape Town,12/19/2023,customer135@example.com,721021057,4184.22,58,4,21
CUST100137,55,Non-binary,Johannesburg,11/8/2023,customer136@example.com,721016859,4413.59,52,16,28
CUST100138,27,Non-binary,Cape Town,5/8/2023,customer137@example.com,721028989,5395.31,78,22,54
CUST100139,61,Non-binary,Durban,12/9/2023,customer138@example.com,721012636,3089.08,71,27,32
CUST100140,25,Male,Pretoria,1/25/2024,customer139@example.com,721028176,2199.7,30,3,13
CUST100141,26,Non-binary,Pretoria,8/2/2023,customer140@example.com,721001538,6374.4,85,7,74
CUST100142,62,Female,Durban,10/2/2023,customer141@example.com,721020451,302.654,56,28,7
CUST100143,49,Female,Bloemfontein,5/5/2023,customer142@example.com,721013857,2283.18,45,13,23
CUST100144,50,Male,Cape Town,2/3/2023,customer143@example.com,721005734,3591.91,53,6,22
CUST100145,60,Non-binary,Bloemfontein,8/21/2023,customer144@example.com,721023165,7401.57,90,27,17
CUST100146,57,Male,Johannesburg,4/6/2023,customer145@example.com,721000397,4454.42,97,11,36
CUST100147,63,Female,Bloemfontein,5/7/2023,customer146@example.com,721021423,6130.28,86,22,39
CUST100148,53,Non-binary,Bloemfontein,1/20/2024,customer147@example.com,721031720,501.954,9,1,1
CUST100149,41,Female,Pretoria,5/8/2023,customer148@example.com,721006632,3018.91,75,26,20
CUST100150,45,Non-binary,Durban,12/10/2023,customer149@example.com,721029594,2060.91,44,11,0
CUST100151,31,Male,Bloemfontein,3/13/2023,customer150@example.com,721003051,3031.09,90,6,53
CUST100152,43,Non-binary,Bloemfontein,12/18/2023,customer151@example.com,721006202,611.082,7,2,1
CUST100153,67,Female,Cape Town,2/2/2024,customer152@example.com,721007020,2738.09,66,14,2
CUST100154,63,Female,Pretoria,2/15/2023,customer153@example.com,721016423,712.798,12,2,5
CUST100155,47,Non-binary,Cape Town,9/27/2023,customer154@example.com,721006210,7542.16,93,32,28
CUST100156,45,Male,Pretoria,2/7/2023,customer155@example.com,721013840,3103.76,68,22,10
CUST100157,63,Male,Durban,8/10/2023,customer156@example.com,721026884,1972.67,85,40,38
CUST100158,55,Non-binary,Pretoria,7/22/2023,customer157@example.com,721028614,1262.58,34,4,4
CUST100159,18,Female,Durban,5/16/2023,customer158@example.com,721001804,2999.49,35,6,24
CUST100160,39,Female,Bloemfontein,4/27/2023,customer159@example.com,721016776,2249.53,36,2,18
CUST100161,24,Non-binary,Durban,1/21/2023,customer160@example.com,721025854,3332.86,37,11,7
CUST100162,56,Non-binary,Durban,2/14/2023,customer161@example.com,721005489,2977.89,47,8,21
CUST100163,66,Female,Durban,9/20/2023,customer162@example.com,721021042,1722.41,61,6,38
CUST100164,28,Female,Johannesburg,12/2/2023,customer163@example.com,721005301,507.489,25,1,3
CUST100165,24,Female,Cape Town,11/6/2023,customer164@example.com,721017091,58.0829,1,0,0
CUST100166,36,Female,Pretoria,10/19/2023,customer165@example.com,721006336,1424.22,16,8,1
CUST100167,23,Non-binary,Johannesburg,12/8/2023,customer166@example.com,721029453,358.084,47,20,7
CUST100168,50,Non-binary,Bloemfontein,12/27/2023,customer167@example.com,721013438,542.259,11,2,6
CUST100169,58,Female,Cape Town,2/2/2024,customer168@example.com,721030425,2353.12,58,28,18
CUST100170,68,Non-binary,Johannesburg,3/17/2023,customer169@example.com,721016984,3534.37,49,24,20
CUST100171,59,Non-binary,Cape Town,1/9/2023,customer170@example.com,721014224,5835.36,75,8,50
CUST100172,53,Female,Cape Town,1/10/2024,customer171@example.com,721012711,1994.84,95,44,0
CUST100173,33,Male,Johannesburg,12/9/2023,customer172@example.com,721000552,5966.16,96,14,0
CUST100174,38,Non-binary,Pretoria,2/15/2023,customer173@example.com,721024230,2325.37,91,1,34
CUST100175,39,Non-binary,Cape Town,4/18/2023,customer174@example.com,721023720,2042.48,28,6,1
CUST100176,25,Male,Johannesburg,2/5/2023,customer175@example.com,721008751,5611.4,66,1,4
CUST100177,32,Male,Bloemfontein,12/17/2023,customer176@example.com,721015483,169.586,5,2,0
CUST100178,65,Male,Durban,9/20/2023,customer177@example.com,721002763,2573.33,73,35,11
CUST100179,44,Male,Bloemfontein,1/5/2024,customer178@example.com,721012770,386.802,86,12,47
CUST100180,22,Female,Pretoria,10/6/2023,customer179@example.com,721026331,511.953,59,26,25
CUST100181,50,Female,Cape Town,2/8/2023,customer180@example.com,721000584,728.357,96,43,18
CUST100182,22,Male,Bloemfontein,8/15/2023,customer181@example.com,721032729,5382.12,77,10,57
CUST100183,23,Female,Bloemfontein,6/23/2023,customer182@example.com,721019020,407.707,34,12,21
CUST100184,31,Female,Pretoria,10/15/2023,customer183@example.com,721012561,4287.82,43,3,16
CUST100185,54,Female,Cape Town,1/10/2023,customer184@example.com,721027058,229.342,20,2,1
CUST100186,20,Non-binary,Durban,6/16/2023,customer185@example.com,721028735,1566.73,34,6,5
CUST100187,33,Male,Pretoria,7/15/2023,customer186@example.com,721032415,2244.33,53,23,17
CUST100188,52,Female,Pretoria,8/4/2023,customer187@example.com,721031977,8494.18,96,28,53
CUST100189,26,Female,Johannesburg,10/22/2023,customer188@example.com,721025294,2324.07,42,21,14
CUST100190,42,Non-binary,Cape Town,6/1/2023,customer189@example.com,721019328,3067.64,53,9,18
CUST100191,50,Non-binary,Pretoria,4/14/2023,customer190@example.com,721017565,109.628,2,1,1
CUST100192,41,Male,Cape Town,11/19/2023,customer191@example.com,721029568,5502.47,60,0,18
CUST100193,60,Female,Durban,12/26/2023,customer192@example.com,721026404,2545.53,57,4,39
CUST100194,35,Non-binary,Johannesburg,5/9/2023,customer193@example.com,721031786,2607.07,48,11,7
CUST100195,21,Male,Bloemfontein,3/19/2023,customer194@example.com,721008119,108.917,7,2,5
CUST100196,20,Non-binary,Johannesburg,4/25/2023,customer195@example.com,721027022,1243.01,16,3,13
CUST100197,41,Female,Johannesburg,10/7/2023,customer196@example.com,721007288,212.332,45,8,33
CUST100198,19,Male,Bloemfontein,3/13/2023,customer197@example.com,721029700,3055.72,55,20,12
CUST100199,34,Male,Durban,8/4/2023,customer198@example.com,721012017,3622.44,59,20,6
CUST100200,49,Female,Pretoria,8/15/2023,customer199@example.com,721028218,3874.13,77,1,52
CUST100201,58,Female,Durban,8/13/2023,customer200@example.com,721003785,658.368,82,11,47
CUST100202,41,Non-binary,Durban,12/28/2023,customer201@example.com,721006791,6965.67,73,18,43
CUST100203,56,Non-binary,Pretoria,2/21/2023,customer202@example.com,721007177,4828.73,57,21,23
CUST100204,68,Non-binary,Pretoria,7/14/2023,customer203@example.com,721007723,2067.17,33,9,6
CUST100205,55,Non-binary,Johannesburg,10/20/2023,customer204@example.com,721026008,198.216,2,1,0
CUST100206,46,Female,Pretoria,1/27/2024,customer205@example.com,721029074,474.578,5,1,4
CUST100207,24,Female,Johannesburg,9/17/2023,customer206@example.com,721028628,2242.3,56,23,18
CUST100208,39,Non-binary,Pretoria,12/10/2023,customer207@example.com,721012001,7061.49,92,29,55
CUST100209,50,Non-binary,Johannesburg,12/17/2023,customer208@example.com,721014444,707.567,8,4,2
CUST100210,60,Male,Bloemfontein,9/9/2023,customer209@example.com,721001112,1463.46,50,4,20
CUST100211,38,Female,Bloemfontein,5/27/2023,customer210@example.com,721004075,957.191,16,0,5
CUST100212,61,Female,Bloemfontein,8/18/2023,customer211@example.com,721026181,5989.35,69,2,10
CUST100213,47,Non-binary,Durban,2/4/2023,customer212@example.com,721026261,4511.71,82,29,6
CUST100214,32,Male,Pretoria,8/16/2023,customer213@example.com,721029852,302.024,15,0,4
CUST100215,57,Female,Cape Town,8/21/2023,customer214@example.com,721027013,589.013,51,19,17
CUST100216,50,Female,Cape Town,10/13/2023,customer215@example.com,721029309,940.521,40,13,3
CUST100217,57,Male,Bloemfontein,5/7/2023,customer216@example.com,721005678,2284.16,57,16,8
CUST100218,52,Male,Cape Town,11/10/2023,customer217@example.com,721014879,2361.48,27,4,9
CUST100219,18,Female,Bloemfontein,4/12/2023,customer218@example.com,721003493,1851.02,56,13,18
CUST100220,46,Male,Durban,2/21/2023,customer219@example.com,721022019,2391.52,58,2,8
CUST100221,58,Male,Bloemfontein,2/9/2023,customer220@example.com,721015975,151.421,3,0,1
CUST100222,32,Male,Cape Town,9/28/2023,customer221@example.com,721026712,1968.81,56,27,4
CUST100223,41,Male,Johannesburg,1/25/2023,customer222@example.com,721017015,3128.84,40,5,5
CUST100224,49,Male,Cape Town,10/11/2023,customer223@example.com,721023543,2309.37,63,6,44
CUST100225,31,Female,Cape Town,8/16/2023,customer224@example.com,721024835,55.0716,86,26,12
CUST100226,45,Non-binary,Pretoria,12/10/2023,customer225@example.com,721003685,2861.42,62,9,18
CUST100227,59,Female,Bloemfontein,11/15/2023,customer226@example.com,721019958,188.863,2,0,2
CUST100228,70,Male,Pretoria,12/1/2023,customer227@example.com,721018611,5918.36,90,37,14
CUST100229,51,Female,Pretoria,2/13/2023,customer228@example.com,721022302,905.861,39,17,8
CUST100230,61,Non-binary,Pretoria,1/26/2023,customer229@example.com,721001343,9106.8,94,38,38
CUST100231,52,Non-binary,Bloemfontein,8/28/2023,customer230@example.com,721032209,4247.64,69,26,39
CUST100232,60,Female,Bloemfontein,11/1/2023,customer231@example.com,721015006,2113.35,82,31,44
CUST100233,58,Non-binary,Johannesburg,9/21/2023,customer232@example.com,721021811,3084.34,46,18,2
CUST100234,18,Non-binary,Cape Town,10/21/2023,customer233@example.com,721016435,3805.06,40,9,22
CUST100235,18,Non-binary,Bloemfontein,1/23/2023,customer234@example.com,721012430,2767.91,70,2,61
CUST100236,27,Female,Pretoria,4/8/2023,customer235@example.com,721028485,4067.37,56,21,13
CUST100237,54,Male,Johannesburg,9/9/2023,customer236@example.com,721002652,1662.47,20,9,5
CUST100238,39,Male,Bloemfontein,5/28/2023,customer237@example.com,721029584,2019.47,26,5,9
CUST100239,46,Male,Cape Town,4/17/2023,customer238@example.com,721025582,543.435,51,0,51
CUST100240,63,Non-binary,Pretoria,4/25/2023,customer239@example.com,721024742,1782.8,57,23,19
CUST100241,56,Female,Pretoria,8/18/2023,customer240@example.com,721032474,2193.73,56,1,53
CUST100242,29,Male,Johannesburg,12/6/2023,customer241@example.com,721009627,1157.41,34,2,18
CUST100243,70,Male,Cape Town,7/10/2023,customer242@example.com,721003218,7767.18,94,30,39
CUST100244,42,Non-binary,Bloemfontein,6/9/2023,customer243@example.com,721028365,660.584,9,0,5
CUST100245,49,Non-binary,Cape Town,7/12/2023,customer244@example.com,721005590,2528.34,30,2,5
CUST100246,31,Male,Bloemfontein,8/11/2023,customer245@example.com,721032202,4167.71,62,27,10
CUST100247,35,Male,Cape Town,4/25/2023,customer246@example.com,721015070,3629.9,47,0,27
CUST100248,20,Non-binary,Pretoria,9/15/2023,customer247@example.com,721002468,911.995,72,10,20
CUST100249,65,Male,Johannesburg,8/11/2023,customer248@example.com,721022120,544.804,25,8,4
CUST100250,36,Male,Durban,12/5/2023,customer249@example.com,721026161,2766.73,42,16,13
CUST100251,51,Male,Cape Town,7/3/2023,customer250@example.com,721020764,4923.93,50,7,4
CUST100252,28,Non-binary,Pretoria,3/23/2023,customer251@example.com,721003846,627.912,36,8,27
CUST100253,37,Female,Bloemfontein,12/5/2023,customer252@example.com,721024535,78.6504,4,2,0
CUST100254,28,Female,Pretoria,11/9/2023,customer253@example.com,721021302,1774.08,21,10,11
CUST100255,66,Male,Johannesburg,9/14/2023,customer254@example.com,721020194,3524.14,59,29,8
CUST100256,19,Non-binary,Durban,1/3/2023,customer255@example.com,721020756,3394.83,71,6,16
CUST100257,41,Non-binary,Bloemfontein,11/5/2023,customer256@example.com,721011553,7879.84,91,39,34
CUST100258,59,Non-binary,Cape Town,1/15/2023,customer257@example.com,721017802,981.01,44,3,19
CUST100259,55,Non-binary,Durban,9/25/2023,customer258@example.com,721030136,3546.48,74,14,35
CUST100260,35,Female,Pretoria,5/3/2023,customer259@example.com,721030922,4368,78,5,59
CUST100261,24,Female,Cape Town,11/5/2023,customer260@example.com,721003005,931.909,19,8,0
CUST100262,51,Female,Bloemfontein,8/26/2023,customer261@example.com,721023131,4415.32,47,12,31
CUST100263,22,Non-binary,Johannesburg,1/21/2024,customer262@example.com,721019188,4229.72,44,13,7
CUST100264,34,Female,Bloemfontein,9/5/2023,customer263@example.com,721014547,4054.02,91,10,40
CUST100265,29,Female,Pretoria,1/5/2024,customer264@example.com,721027039,347.78,23,11,4
CUST100266,54,Non-binary,Durban,9/10/2023,customer265@example.com,721032196,2629.95,33,9,9
CUST100267,64,Female,Johannesburg,7/24/2023,customer266@example.com,721015079,1106.22,19,9,0
CUST100268,19,Non-binary,Cape Town,4/28/2023,customer267@example.com,721001179,337.305,59,0,38
CUST100269,41,Male,Durban,3/18/2023,customer268@example.com,721024186,701.093,9,0,6
CUST100270,50,Male,Pretoria,10/24/2023,customer269@example.com,721004999,2346.93,55,12,8
CUST100271,65,Male,Durban,8/15/2023,customer270@example.com,721024893,262.188,7,1,2
CUST100272,35,Female,Durban,2/5/2023,customer271@example.com,721016293,1217.68,19,3,9
CUST100273,24,Male,Johannesburg,5/4/2023,customer272@example.com,721005195,1656.14,25,3,19
CUST100274,34,Male,Johannesburg,11/7/2023,customer273@example.com,721010749,762.807,95,34,53
CUST100275,58,Non-binary,Bloemfontein,4/16/2023,customer274@example.com,721015008,1443.69,22,10,10
CUST100276,22,Male,Cape Town,1/14/2023,customer275@example.com,721006429,872.123,36,18,10
CUST100277,45,Male,Pretoria,3/21/2023,customer276@example.com,721029461,4893.94,79,0,12
CUST100278,29,Female,Durban,3/26/2023,customer277@example.com,721002892,102.069,71,17,39
CUST100279,34,Male,Durban,12/2/2023,customer278@example.com,721017309,3935.35,89,0,17
CUST100280,56,Female,Bloemfontein,2/20/2023,customer279@example.com,721001968,3265.97,60,25,33
CUST100281,44,Non-binary,Durban,11/1/2023,customer280@example.com,721013287,1692.85,31,10,8
CUST100282,20,Male,Bloemfontein,5/21/2023,customer281@example.com,721016602,928.683,59,20,17
CUST100283,32,Male,Pretoria,1/9/2024,customer282@example.com,721018634,1580.36,59,29,17
CUST100284,68,Non-binary,Cape Town,3/26/2023,customer283@example.com,721006553,331.983,39,0,17
CUST100285,52,Non-binary,Bloemfontein,2/1/2023,customer284@example.com,721016166,1297.6,24,7,1
CUST100286,42,Male,Durban,5/26/2023,customer285@example.com,721023809,325.62,11,0,11
CUST100287,27,Female,Durban,1/9/2024,customer286@example.com,721027687,1765.3,65,1,60
